County,Latitude,Longitude
Donley,34.9315,-100.81453
Falls,31.23209,-96.92621
Fisher,32.70909,-100.38119
Hopkins,33.13683,-95.56566
Houston,31.33785,-95.3908
Howard,32.30478,-101.42711
Milam,30.76269,-96.99817
Mason,30.70503,-99.22333
Hutchinson,35.81482,-101.34844
Jim Wells,27.80677,-98.10846
Leon,31.27151,-95.99534
Lamb,34.03217,-102.34292
Knox,33.58714,-99.70736
Callahan,32.28104,-99.36124
Mills,31.48611,-98.55273
Dickens,33.61701,-100.76141
Bee,28.38712,-97.71918
Presidio,29.98838,-104.23365
Carson,35.36366,-101.33539
Colorado,29.60996,-96.54788
Terry,33.15143,-102.33281
San Saba,31.12227,-98.8397
Crockett,30.65174,-101.37667
Hill,31.95951,-97.08817
Lee,30.30314,-96.95886
Panola,32.13677,-94.31301
Brooks,26.98799,-98.2071
Calhoun,28.50316,-96.67366
Ward,31.50076,-103.07812
Swisher,34.47235,-101.712
Sabine,31.33255,-93.87222
Roberts,35.83098,-100.8058
Reeves,31.232,-103.65837
Mitchell,32.2898,-100.9213
Gonzales,29.44366,-97.51086
Fannin,33.53725,-96.09028
Lavaca,29.37033,-96.93345
Jackson,28.9224,-96.55561
Jim Hogg,27.00654,-98.70473
Kinney,29.32642,-100.41657
Comanche,31.91302,-98.52739
Clay,33.68562,-98.21233
Cherokee,31.83908,-95.17918
Starr,26.56304,-98.74799
Dawson,32.74108,-101.9576
Freestone,31.69244,-96.16296
Hale,34.03213,-101.80888
Harrison,32.5234,-94.39822
Moore,35.81561,-101.91044
Live Oak,28.26787,-98.10192
Jones,32.71359,-99.86061
Delta,33.39269,-95.67495
Andrews,32.2691,-102.60424
Brewster,29.84627,-103.24007
Grays,33.56361,-96.67021
Dimmit,28.38219,-99.71782
Jasper,30.74853,-94.00088
Irion,31.29312,-100.98007
Zavala,28.83666,-99.76763
Uvalde,29.30036,-99.77332
Archer,33.58166,-98.70449
Bailey,34.03492,-102.81494
Culberson,31.46226,-104.48283
Gaines,32.70449,-102.62206
Hall,34.50366,-100.65368
Hardin,30.30496,-94.4039
Lynn,33.14743,-101.81259
Morris,33.07386,-94.73922
Karnes,28.87919,-97.90629
